experiment_id,data_version,assortment_version,inventory_version,simulation_rule_version,tiss_version,model_version,decision_date,node_id,node_type,rdc_id,fdc_id,sku_id,demand_forecast_qty,forecast_daily_mean_qty,historical_demand_std_qty,lead_time_days,replenishment_window_days,service_factor,demand_during_lead_time_qty,uncertainty_buffer_qty,safety_stock_qty,target_inventory_qty,current_inventory_position_qty,assortment_mask,eligible_mask,constraint_projection_flag
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000001,546.36,202.738586,26.846574,2,3,1.28,405.477171,48.59749,455,1064,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000002,256.08,95.023972,10.661537,2,3,1.28,190.047943,19.299443,210,496,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000003,184.32,68.395886,11.460224,2,3,1.28,136.791771,20.745221,158,364,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000004,119.28,44.2614,9.001984,2,3,1.28,88.5228,16.295332,105,238,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000005,95.4,35.400214,5.129322,2,3,1.28,70.800429,9.285065,81,188,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000006,106.20514,51.340721,5.499884,2,3,1.28,102.681441,9.955853,113,268,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000008,45.36,16.8318,4.031129,2,3,1.28,33.6636,7.297123,41,92,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000010,43.08,15.985757,4.158069,2,3,1.28,31.971515,7.526909,40,88,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000011,35.04,13.002343,4.021625,2,3,1.28,26.004685,7.279919,34,74,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000014,31.08,11.5329,3.449896,2,3,1.28,23.0658,6.244979,30,65,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000016,26.52,9.840814,2.511961,2,3,1.28,19.681629,4.547135,25,55,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000017,18.48,6.8574,2.129722,2,3,1.28,13.7148,3.855209,18,39,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000018,22.8,8.460428,3.027931,2,3,1.28,16.920857,5.481141,23,49,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000019,21.12,7.837028,1.943067,2,3,1.28,15.674057,3.517327,20,44,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000021,15.48,5.744186,2.160345,2,3,1.28,11.488371,3.910642,16,34,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000022,22.8,8.460428,2.858036,2,3,1.28,16.920857,5.173598,23,49,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000023,18.24,6.768343,2.731151,2,3,1.28,13.536685,4.943911,19,40,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000025,14.16,5.254372,1.819677,2,3,1.28,10.508743,3.293967,14,30,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000026,20.64,7.658914,3.409171,2,3,1.28,15.317829,6.171259,22,45,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000027,13.8,5.120786,2.304333,2,3,1.28,10.241571,4.171288,15,31,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000028,10.2,3.784928,1.61427,2,3,1.28,7.569857,2.922141,11,23,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000029,16.01856,6.756533,2.111678,2,3,1.28,13.513066,3.822545,18,39,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000030,11.16,4.141157,1.773889,2,3,1.28,8.282315,3.211082,12,25,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000031,12.0,4.452857,1.953542,2,3,1.28,8.905715,3.536289,13,27,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000032,12.6,4.6755,1.703463,2,3,1.28,9.351,3.083597,13,28,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000033,15.6,5.788714,2.003823,2,3,1.28,11.577429,3.627307,16,34,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000034,8.4,3.117,2.078805,2,3,1.28,6.234,3.763039,10,20,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000035,10.08,3.7404,1.85164,2,3,1.28,7.4808,3.351826,11,23,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000036,11.76,4.3638,2.195775,2,3,1.28,8.7276,3.974777,13,27,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000037,11.88,4.408328,1.841625,2,3,1.28,8.816657,3.333697,13,27,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000038,8.04,2.983414,1.543171,2,3,1.28,5.966829,2.793438,9,18,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000039,10.44,3.873986,1.697462,2,3,1.28,7.747971,3.072734,11,23,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000042,8.4,3.117,1.546886,2,3,1.28,6.234,2.800163,10,20,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000043,10.44,3.873986,1.611106,2,3,1.28,7.747971,2.916413,11,23,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000044,8.88,3.295114,1.893868,2,3,1.28,6.590229,3.428267,11,21,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000045,10.2,3.784928,1.34913,2,3,1.28,7.569857,2.442186,11,23,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000046,6.96,2.582657,1.279748,2,3,1.28,5.165315,2.316591,8,16,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000047,7.8,2.894357,1.364174,2,3,1.28,5.788715,2.469419,9,18,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000050,6.72,2.4936,1.133893,2,3,1.28,4.9872,2.052566,8,16,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000051,7.2,2.671714,1.551826,2,3,1.28,5.343429,2.809105,9,18,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000053,5.4,2.003786,1.14453,2,3,1.28,4.007571,2.071821,7,14,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000054,7.2,2.671714,1.865366,2,3,1.28,5.343429,3.376673,9,18,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000055,5.52,2.048314,1.201615,2,3,1.28,4.096629,2.175155,7,14,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000056,7.68,2.849828,1.508479,2,3,1.28,5.699657,2.730639,9,18,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000060,4.92,1.825672,1.051602,2,3,1.28,3.651343,1.903603,6,12,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000061,5.16,1.914728,1.238725,2,3,1.28,3.829457,2.242332,7,13,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000062,5.76,2.137372,1.220572,2,3,1.28,4.274743,2.209471,7,14,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000063,6.92316,3.206726,1.046739,2,3,1.28,6.413451,1.8948,9,19,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000064,5.28,1.959257,1.11575,2,3,1.28,3.918515,2.019723,6,12,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000065,4.92,1.825672,1.238725,2,3,1.28,3.651343,2.242332,6,12,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000066,4.8,1.781143,1.293626,2,3,1.28,3.562285,2.341713,6,12,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000068,3.72,1.380386,0.976118,2,3,1.28,2.760771,1.766962,5,10,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000069,4.600596,1.812573,0.965608,2,3,1.28,3.625146,1.747937,6,12,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000070,4.8,1.781143,1.265718,2,3,1.28,3.562285,2.291194,6,12,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000071,5.88,2.1819,1.271248,2,3,1.28,4.3638,2.301205,7,14,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000072,4.2,1.5585,1.12202,2,3,1.28,3.117,2.031073,6,11,0,true,true,false
exp_inventory_v001_base_stock,v001,assortment_hybrid_v001,inventory_base_stock_v001,sim_rule_v001,rule_tiss_v001,none,2026-06-02,FDC001,FDC,RDC001,FDC001,SKU000073,5.04,1.8702,1.239239,2,3,1.28,3.7404,2.243262,6,12,0,true,true,false
